"filename", "language", "C#", "comment", "blank", "total"
"/home/shwy/project-E12/Assets/Scrpts/kingdom/LightKingdom.cs", "C#", 10, 4, 2, 16
"/home/shwy/project-E12/Assets/Scrpts/kingdom/WaterKingdom.cs", "C#", 11, 4, 2, 17
"/home/shwy/project-E12/Assets/Scrpts/other/Cost.cs", "C#", 274, 76, 24, 374
"/home/shwy/project-E12/Assets/Scrpts/other/GameState.cs", "C#", 107, 13, 20, 140
"/home/shwy/project-E12/Assets/Scrpts/other/Player.cs", "C#", 91, 33, 12, 136
"/home/shwy/project-E12/Assets/Scrpts/other/Task.cs", "C#", 120, 15, 24, 159
"/home/shwy/project-E12/Assets/Scrpts/other/UpdatePosition.cs", "C#", 31, 4, 3, 38
"/home/shwy/project-E12/Assets/Scrpts/spell/Spell.cs", "C#", 16, 3, 6, 25
"/home/shwy/project-E12/Assets/Scrpts/unit/Animal.cs", "C#", 16, 0, 3, 19
"/home/shwy/project-E12/Assets/Scrpts/unit/Camper.cs", "C#", 15, 1, 2, 18
"/home/shwy/project-E12/Assets/Scrpts/unit/Civilian.cs", "C#", 71, 14, 16, 101
"/home/shwy/project-E12/Assets/Scrpts/unit/Settler.cs", "C#", 9, 0, 2, 11
"/home/shwy/project-E12/Assets/Scrpts/unit/Shadow.cs", "C#", 16, 3, 3, 22
"/home/shwy/project-E12/Assets/Scrpts/unit/Unit.cs", "C#", 154, 38, 28, 220
"/home/shwy/project-E12/Assets/Scrpts/unit/UnitMove.cs", "C#", 30, 31, 4, 65
"Total", "-", 3810, 789, 759, 5358
